row,col,x,y,z
32,3,2.7,1.86,0
33,3,2.66,1.86,0
34,3,2.62,1.86,0
35,3,2.58,1.86,0
36,3,2.54,1.86,0
37,3,2.5,1.86,0
38,3,2.46,1.86,0
39,3,2.42,1.86,0
40,3,2.38,1.86,0
41,3,2.34,1.86,0
42,3,2.3,1.86,0
43,3,2.26,1.86,0
44,3,2.22,1.86,0
45,3,2.18,1.86,0
46,3,2.14,1.86,0
47,3,2.1,1.86,0
48,3,2.06,1.86,0
49,3,2.02,1.86,0.370000004768
50,3,1.98,1.86,0.370000004768
51,3,1.94,1.86,0.34999999404
52,3,1.9,1.86,0.34999999404
53,3,1.86,1.86,0.34999999404
54,3,1.82,1.86,0.34999999404
55,3,1.78,1.86,0.34999999404
56,3,1.74,1.86,0.34999999404
57,3,1.7,1.86,0.34999999404
58,3,1.66,1.86,0.34999999404
59,3,1.62,1.86,0.34999999404
60,3,1.58,1.86,0.34999999404
61,3,1.54,1.86,0.34999999404
62,3,1.5,1.86,0.34999999404
63,3,1.46,1.86,0.34999999404
64,3,1.42,1.86,0.34999999404
65,3,1.38,1.86,0.34999999404
66,3,1.34,1.86,0.34999999404
67,3,1.3,1.86,0.34999999404
68,3,1.26,1.86,0.34999999404
69,3,1.22,1.86,0.34999999404
70,3,1.18,1.86,0.34999999404
71,3,1.14,1.86,0.34999999404
72,3,1.1,1.86,0.34999999404
73,3,1.06,1.86,0.34999999404
74,3,1.02,1.86,0.370000004768
75,3,0.98,1.86,0.370000004768
76,3,0.94,1.86,0
77,3,0.9,1.86,0
78,3,0.86,1.86,0
79,3,0.82,1.86,0
80,3,0.78,1.86,0
81,3,0.74,1.86,0
82,3,0.7,1.86,0
83,3,0.66,1.86,0
84,3,0.62,1.86,0
85,3,0.58,1.86,0
86,3,0.54,1.86,0
87,3,0.5,1.86,0
88,3,0.46,1.86,0
89,3,0.42,1.86,0
90,3,0.38,1.86,0
91,3,0.34,1.86,0
92,3,0.3,1.86,0
93,3,0.26,1.86,0
94,3,0.22,1.86,0
95,3,0.18,1.86,0
96,3,0.14,1.86,0
97,3,0.1,1.86,0
98,3,0.06,1.86,0
99,3,0.02,1.86,0
100,3,-0.02,1.86,0
101,3,-0.06,1.86,0
102,3,-0.1,1.86,0
103,3,-0.14,1.86,0
104,3,-0.18,1.86,0
105,3,-0.22,1.86,0
106,3,-0.26,1.86,0
107,3,-0.3,1.86,0
108,3,-0.34,1.86,0
109,3,-0.38,1.86,0
110,3,-0.42,1.86,0
111,3,-0.46,1.86,0
112,3,-0.5,1.86,0
113,3,-0.54,1.86,0
114,3,-0.58,1.86,0
115,3,-0.62,1.86,0
116,3,-0.66,1.86,0
117,3,-0.7,1.86,0
118,3,-0.74,1.86,0
119,3,-0.78,1.86,0
120,3,-0.82,1.86,0
121,3,-0.86,1.86,0
122,3,-0.9,1.86,0
123,3,-0.94,1.86,0
124,3,-0.98,1.86,0
125,3,-1.02,1.86,0
126,3,-1.06,1.86,0
127,3,-1.1,1.86,0
128,3,-1.14,1.86,0
129,3,-1.18,1.86,0
130,3,-1.22,1.86,0
131,3,-1.26,1.86,0
132,3,-1.3,1.86,0
133,3,-1.34,1.86,0
134,3,-1.38,1.86,0
135,3,-1.42,1.86,0
136,3,-1.46,1.86,0
137,3,-1.5,1.86,0
138,3,-1.54,1.86,0
139,3,-1.58,1.86,0
140,3,-1.62,1.86,0
141,3,-1.66,1.86,0
142,3,-1.7,1.86,0
143,3,-1.74,1.86,0
144,3,-1.78,1.86,0
145,3,-1.82,1.86,0
146,3,-1.86,1.86,0
147,3,-1.9,1.86,0
148,3,-1.94,1.86,0
